Report Link	Region	Lead State	TMDL ID	TMDL Name	Document Name	Document Type	TMDL Status	TMDL Date	Fiscal Year	TMDL Type	Pollutant	Pollutant Group	Assessment Unit ID	MatchScoreDescending	likely_model	score1	qual	qualmatch	mike she	mike shematch	answers	answersmatch	gwlf	gwlfmatch	wasp	waspmatch	warmf	warmfmatch	spreadsheet	spreadsheetmatch	swat	swatmatch	gssha	gsshamatch	minteq	minteqmatch	concepts	conceptsmatch	cequalriv	cequalrivmatch	agnps	agnpsmatch	sstemp	sstempmatch	hec-hms	hec-hmsmatch	cequalw2	cequalw2match	oteq	oteqmatch	stepl	steplmatch	usle	uslematch	sustain	sustainmatch	curve number	curve numbermatch	efdc	efdcmatch	cche	cchematch	kineros	kinerosmatch	bathub	bathubmatch	tidal prism	tidal prismmatch	edp riv1	edp riv1match	load duration curve	load duration curvematch	simple method	simple methodmatch	basins	basinsmatch	mike 11	mike 11match	hspf	hspfmatch	swmm	swmmmatch	mass balance	mass balancematch	dwsm	dwsmmatch	hec ras	hec rasmatch	validation	validation_text
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60317	9	NV	22608	Carson River: Phase 1 TMDL for Phosphorus	carson river_TP_tmdl_093005-submittal.pdf	Document	Approved/Established	18-Nov-05	2006	Nonpoint Source	"Phosphorus, Total"	Nutrients	"NV08-CR-05-02,NV08-CR-06-01,NV08-CR-06-02,NV08-CR-07,NV08-CR-08,NV08-CR-09,NV08-CR-10,NV08-CR-11,NV08-CR-12,NV08-CR-29,NV8-CR-D"	100	;load duration curve	;26	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		26	"Flow Duration Curve,Load Duration Curve,Flow Duration Curve,Load Duration Curve,load duration curve,load duration curve,Load Duration Curve,Load Duration Curve,flow duration curve,Flow duration curve,Load Duration Curve,load duration curve,Load Duration curve,load duration curve,Load Duration Curve,load duration curve,load duration curve,Load Duration curve,load duration curve,Load Duration Curve,Flow Duration Curve,Flow Duration Curve,Flow Duration Curve,FlowDuration Curve,Flow Duration Curve,Load Duration Curve"	1	simple method	0		0		0		0		0		0		0		0	
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60437	8	WY	39400	JACKSON CREEK - FROM LITTLE GOOSE CREEK TO AN UNDETERMINED DISTANCE UPSTREAM.	Goose Creek Final TMDLs Sept 2010_v2.pdf	Document	Approved/Established	28-Sep-10	2010	Point/Nonpoint Source	Escherichia Coli (E. Coli)	Pathogens	WYTR100901010207_02	100	;load duration curve;curve number	;77;9	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		1	CE-QUAL-W2	0		0		0		0		9	" curve number , curve number , curve number , curve number , curve number ,
Curve Number
, Curve Number
,
Curve Number
, curve number "	0		0		0		0		0		0		77	"Flow Duration Curve,Flow Duration Curve,Load Duration Curve,Flow duration curve,Flow duration curve,flow duration curve,Flow duration curve,Load duration curve,Flow Duration Curve,Flow Duration Curve,Load Duration Curve,flow duration curve,Flow Duration Curve,flow duration curve,flow duration curve,Flow duration curve,flow duration curve,load duration curve,flow duration curve,flow duration curve,flow duration curve,Flow duration curve,flow duration curve,flow duration curve,flow duration curve,flow duration curve,flow duration curve,flow duration curve,flow duration curve,Flow duration curve,Flow duration curve,Flow Duration Curve,flow duration curve,flow duration curve,flow duration curve,flow duration curve,flow duration curve,FLOW DURATION CURVE,flow duration curve,flow duration curve,flow duration curve,flow duration curve,flow duration curve,flow duration curve,flow duration curve,flow duration curve,flow duration curve,flow duration curve,flow duration curve,flow duration curve,flow duration curve,flow duration curve,Flow duration curve,LOAD DURATION CURVE,load duration curve,flow duration curve,load duration curve,flow duration curve,load duration curve,flow duration curve,flow duration curve,load duration curve,load duration curve,flow duration curve,load duration curve,load duration curve,load duration curve,Load duration curve,load duration curve,load duration curve,load duration curve,load duration curve,load duration curve,flow duration curve,load duration curve,Load Duration Curve,Load Duration Curve"	0		0		0		1	 LSPC 	0		0		0		0		0	
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60500	3	WV	"5,040,050,500,515,000,000,000,000"	"Grasslick Creek,Gunners Run,Neds Run,Turkey Run,UNT/Cox Fork RM 0.86"	Final_Middle_Ohio_TMDL_Report_04_12_13_508.pdf	Document	Approved/Established	4-Jan-13	2013	"Nonpoint Source,Point/Nonpoint Source"	"Fecal Coliform,Iron"	"Metals (other than Mercury),Pathogens"	"WVO-21-0.5A_00,WVO-32-H-6-0.5A,WVO-32-L-7_00,WVO-44-B-4_00,WVOMI-30-H-4"	100	;spreadsheet	;3	0		0		0		0		0		0		3	" spreadsheet , spreadsheet , spreadsheet "	0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		1	(HSPF)	0		0		0		0		3	" validat, validat, validat"
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60520	8	MT	50700	"Cramer Creek, headwaters to mouth (Clark Fork River) - Bonita-Superior TPA"	Bonita Superior Metals TMDLs Final.pdf	Document	Approved/Established	9-May-13	2013	"Point Source,Point/Nonpoint Source"	"Aluminum,Lead"	Metals (other than Mercury)	MT76E004_020	100			0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		1	 validat
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60742	9	CA	466	GARCIA RIVER SEDIMENT	CA-EPA-Garcia-Sed-TMDL-031698-OK.pdf	Document	Approved/Established	16-Mar-98	1998	Nonpoint Source	Sediment	Sediment	CAR113.700GARCIA RIVER	100			0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60760	9	CA	1261	NEWPORT BAY/SAN DIEGO CREEK SEDIMENT TMDL	CA-EPA-NewportSD-Nutrients-TMDL 041398-OK.pdf	Document	Approved/Established	13-Apr-98	1998	Point/Nonpoint Source	"Nitrogen, Total,Phosphorus, Total"	Nutrients	"CA-0452-1996,CA-0457-1996,CA-0462-1996,CA-0466"	100			0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60761	9	CA	4082	REDWOOD CREEK SEDIMENT TMDL	CA-EPA-Redwood-Sed-TMDL-123098-OK.pdf	Document	Approved/Established	30-Dec-98	1999	Nonpoint Source	Sediment	Sediment	CAR107.000REDWOOD CREEK (	100			0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		1	 validat
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60763	9	CA	883	NOYO RIVER SEDIMENT TMDL	CA-EPA-Noyo-Sed-TMDL-121699-OK.pdf	Document	Approved/Established	16-Dec-99	2000	Nonpoint Source	Sediment	Sediment	CAR113.200NOYO RIVER	100			0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		2	" validat, validat"
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60764	9	CA	1103	SOUTH FORK EEL RIVER SEDIMENT	CA-EPA-EelSouthFork-SedTemp-TMDL-121699-OK.pdf	Document	Approved/Established	16-Dec-99	2000	Nonpoint Source	Sediment	Sediment	"CAR111.300EEL RIVER, SOUT"	100			0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		1	 validat
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60765	9	CA	1273	VAN DUZEN RIVER SEDIMENT TMDL	CA-EPA-VanDuzenYager-Sed-TMDL-121699-OK.pdf	Document	Approved/Established	16-Dec-99	2000	Nonpoint Source	Sediment	Sediment	CAR111.200VAN DUZEN RIVER	100			0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0	
