Report Link,Other Cause,Dioxins,TMDL Name,Habitat Alterations,TMDL Type,Chlorine,Region,Turbidity,Sediment,Pesticides,Oil and Grease,Pollutant Group,Assessment Unit ID,Toxic Inorganics,Mercury,TMDL ID,MatchScoreDescending,Metals (other than Mercury),Trash,Pathogens,Total Toxics,TMDL Status,pH/Acidity/Caustic Conditions,Salinity/Total Dissolved Solids/Chlorides/Sulfates,Polychlorinated Biphenyls (PCBs),Fiscal Year,Ammonia,Document Name,Temperature,Toxic Organics,Organic Enrichment/Oxygen Depletion,Nutrients,Pollutant,Lead State,Document Type,Noxious Aquatic Plants,number_of_pages
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60317,0.0,0.0,Carson River: Phase 1 TMDL for Phosphorus,0.0,Nonpoint Source,0.0,9,0.0,0.0,0.0,0.0,Nutrients,NV08-CR-05-02;NV08-CR-06-01;NV08-CR-06-02;NV08-CR-07;NV08-CR-08;NV08-CR-09;NV08-CR-10;NV08-CR-11;NV08-CR-12;NV08-CR-29;NV8-CR-D,0.0,0.0,22608,1100.0,0.0,0.0,0.0,0.0,Approved/Established,0.0,0.0,0.0,2006.0,0.0,carson river_TP_tmdl_093005-submittal.pdf,0.0,0.0,0.0,11.0,"Phosphorus, Total",NV,Document,0.0,51
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60437,0.0,0.0,JACKSON CREEK - FROM LITTLE GOOSE CREEK TO AN UNDETERMINED DISTANCE UPSTREAM.,0.0,Point/Nonpoint Source,0.0,8,0.0,0.0,0.0,0.0,Pathogens,WYTR100901010207_02,0.0,0.0,39400,100.0,0.0,0.0,1.0,0.0,Approved/Established,0.0,0.0,0.0,2010.0,0.0,Goose Creek Final TMDLs Sept 2010_v2.pdf,0.0,0.0,0.0,0.0,Escherichia Coli (E. Coli),WY,Document,0.0,237
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60500,0.0,0.0,Grasslick Creek;Gunners Run;Neds Run;Turkey Run;UNT/Cox Fork RM 0.86,0.0,Nonpoint Source;Point/Nonpoint Source,0.0,3,0.0,0.0,0.0,0.0,Metals (other than Mercury);Pathogens,WVO-21-0.5A_00;WVO-32-H-6-0.5A;WVO-32-L-7_00;WVO-44-B-4_00;WVOMI-30-H-4,0.0,0.0,50400;50500;51500;52300;52600,500.0,4.0,0.0,1.0,0.0,Approved/Established,0.0,0.0,0.0,2013.0,0.0,Final_Middle_Ohio_TMDL_Report_04_12_13_508.pdf,0.0,0.0,0.0,0.0,Fecal Coliform;Iron,WV,Document,0.0,116
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60520,0.0,0.0,"Cramer Creek, headwaters to mouth (Clark Fork River) - Bonita-Superior TPA",0.0,Point Source;Point/Nonpoint Source,0.0,8,0.0,0.0,0.0,0.0,Metals (other than Mercury),MT76E004_020,0.0,0.0,50700,200.0,2.0,0.0,0.0,0.0,Approved/Established,0.0,0.0,0.0,2013.0,0.0,Bonita Superior Metals TMDLs Final.pdf,0.0,0.0,0.0,0.0,Aluminum;Lead,MT,Document,0.0,78
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60742,0.0,0.0,GARCIA RIVER SEDIMENT,0.0,Nonpoint Source,0.0,9,0.0,1.0,0.0,0.0,Sediment,CAR113.700GARCIA RIVER,0.0,0.0,466,100.0,0.0,0.0,0.0,0.0,Approved/Established,0.0,0.0,0.0,1998.0,0.0,CA-EPA-Garcia-Sed-TMDL-031698-OK.pdf,0.0,0.0,0.0,0.0,Sediment,CA,Document,0.0,51
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60760,0.0,0.0,NEWPORT BAY/SAN DIEGO CREEK SEDIMENT TMDL,0.0,Point/Nonpoint Source,0.0,9,0.0,0.0,0.0,0.0,Nutrients,CA-0452-1996;CA-0457-1996;CA-0462-1996;CA-0466,0.0,0.0,1261,800.0,0.0,0.0,0.0,0.0,Approved/Established,0.0,0.0,0.0,1998.0,0.0,CA-EPA-NewportSD-Nutrients-TMDL 041398-OK.pdf,0.0,0.0,0.0,8.0,"Nitrogen, Total;Phosphorus, Total",CA,Document,0.0,38
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60761,0.0,0.0,REDWOOD CREEK SEDIMENT TMDL,0.0,Nonpoint Source,0.0,9,0.0,1.0,0.0,0.0,Sediment,CAR107.000REDWOOD CREEK (,0.0,0.0,4082,100.0,0.0,0.0,0.0,0.0,Approved/Established,0.0,0.0,0.0,1999.0,0.0,CA-EPA-Redwood-Sed-TMDL-123098-OK.pdf,0.0,0.0,0.0,0.0,Sediment,CA,Document,0.0,71
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60763,0.0,0.0,NOYO RIVER SEDIMENT TMDL,0.0,Nonpoint Source,0.0,9,0.0,2.0,0.0,0.0,Sediment,CAR113.200NOYO RIVER,0.0,0.0,883,200.0,0.0,0.0,0.0,0.0,Approved/Established,0.0,0.0,0.0,2000.0,0.0,CA-EPA-Noyo-Sed-TMDL-121699-OK.pdf,0.0,0.0,0.0,0.0,Sediment,CA,Document,0.0,87
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60764,0.0,0.0,SOUTH FORK EEL RIVER SEDIMENT,0.0,Nonpoint Source,0.0,9,0.0,1.0,0.0,0.0,Sediment,"CAR111.300EEL RIVER, SOUT",0.0,0.0,1103,100.0,0.0,0.0,0.0,0.0,Approved/Established,0.0,0.0,0.0,2000.0,0.0,CA-EPA-EelSouthFork-SedTemp-TMDL-121699-OK.pdf,0.0,0.0,0.0,0.0,Sediment,CA,Document,0.0,76
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60765,0.0,0.0,VAN DUZEN RIVER SEDIMENT TMDL,0.0,Nonpoint Source,0.0,9,0.0,2.0,0.0,0.0,Sediment,CAR111.200VAN DUZEN RIVER,0.0,0.0,1273,200.0,0.0,0.0,0.0,0.0,Approved/Established,0.0,0.0,0.0,2000.0,0.0,CA-EPA-VanDuzenYager-Sed-TMDL-121699-OK.pdf,0.0,0.0,0.0,0.0,Sediment,CA,Document,0.0,104
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60766,0.0,0.0,NAVARRO RIVER TEMPERATURE,0.0,Nonpoint Source,0.0,9,0.0,0.0,0.0,0.0,Temperature,CAR113.500NAVARRO RIVER,0.0,0.0,11917,100.0,0.0,0.0,0.0,0.0,Approved/Established,0.0,0.0,0.0,2001.0,0.0,CA-EPA-Navarro-SedTemp-TMDL-122700-OK.pdf,1.0,0.0,0.0,0.0,Temperature,CA,Document,0.0,46
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60772,0.0,0.0,TEN MILE RIVER SEDIMENT TMDL,0.0,Nonpoint Source,0.0,9,0.0,1.0,0.0,0.0,Sediment,CAR113.130TEN MILE RIVER,0.0,0.0,4081,100.0,0.0,0.0,0.0,0.0,Approved/Established,0.0,0.0,0.0,2001.0,0.0,CA-EPA-TenMile-Sed-TMDL-122700-OK.pdf,0.0,0.0,0.0,0.0,Sediment,CA,Document,0.0,89
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60774,0.0,0.0,ALBION RIVER TMDL FOR SEDIMENT,0.0,Point/Nonpoint Source,0.0,9,0.0,1.0,0.0,0.0,Sediment,CAR113.400ALBION RIVER,0.0,0.0,4078,100.0,0.0,0.0,0.0,0.0,Approved/Established,0.0,0.0,0.0,2002.0,0.0,CA-EPA-Albion-Sed-TMDL-122001-OK.pdf,0.0,0.0,0.0,0.0,Sediment,CA,Document,0.0,52
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60776,0.0,0.0,BIG RIVER TMDL FOR SEDIMENT,0.0,Point/Nonpoint Source,0.0,9,0.0,1.0,0.0,0.0,Sediment,CAR113.300BIG RIVER,0.0,0.0,4079,100.0,0.0,0.0,0.0,0.0,Approved/Established,0.0,0.0,0.0,2002.0,0.0,CA-EPA-BigRiver-Sed-TMDL-122001-OK.pdf,0.0,0.0,0.0,0.0,Sediment,CA,Document,0.0,54
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60778,0.0,0.0,GUALALA RIVER TMDL FOR SEDIMENT,0.0,Point/Nonpoint Source,0.0,9,0.0,1.0,0.0,0.0,Sediment,CAR113.800GUALALA RIVER,0.0,0.0,4080,100.0,0.0,0.0,0.0,0.0,Approved/Established,0.0,0.0,0.0,2002.0,0.0,CA-EPA-Gualala-Sed-TMDL-122001-OK.pdf,0.0,0.0,0.0,0.0,Sediment,CA,Document,0.0,-1
http://ofmpub.epa.gov/waters10/attains_impaired_waters.show_tmdl_document?p_tmdl_doc_blobs_id=60780,0.0,0.0,TRINITY RIVER SEDIMENT,0.0,Point/Nonpoint Source,0.0,9,0.0,1.0,0.0,0.0,Sediment,CAR106.000TRINITY RIVER,0.0,0.0,12071,100.0,0.0,0.0,0.0,0.0,Approved/Established,0.0,0.0,0.0,2002.0,0.0,CA-EPA-Trinity-Sed-TMDL-122001-OK.pdf,0.0,0.0,0.0,0.0,Sediment,CA,Document,0.0,81
